Index,Name,Meaning,Korean,Sex
640,Þóra Malmkenna,Þóra (THOH-ra) Ore-Kin,토라 말름켄나,여성
641,Úlfar Grjótvarði,Úlfar (OOL-var) Rock-Warden,울파르 그료트바르디,남성
642,Valdís Hamarsdóttir,Valdís (VAL-dees) Hammer-Daughter,발디스 하마르스도티르,여성
643,Víðar Fellsmíði,Víðar (VEE-dhar) Mountain-Forge,비다르 페들스미디,남성
644,Ylfa Berghjarta,Ylfa (YL-va) Mountain-Heart,윌파 베르그히에르타,여성
645,Andri Djúpgrunn,Andri (AN-dri) Deep-Ground,안드리 디우프그룬,남성
646,Brynhildur Malmþing,Brynhildur (BRYN-hil-dur) Ore-Assembly,브륀힐두르 말름팅,여성
647,Dagur Steinfljót,Dagur (DAH-gur) Stone-River,다구르 스타인플료트,남성
648,Edda Urðardóttir,Edda (ED-da) Cairn-Daughter,에다 우르다르도티르,여성
649,Finnbogi Járnskjöldur,Finnbogi (FINN-boh-gi) Iron-Shield,핀보기 야른스죌두르,남성
650,Gerður Bergþing,Gerður (GER-dhur) Mountain-Assembly,게르뒤르 베르그팅,여성
651,Hákon Hæfilegur,Hákon (HAW-kon) Capable,하우콘 하이필레구르,남성
652,Hrefna Djúpstígur,Hrefna (HREF-na) Deep-Path,흐레프나 디우프스티구르,여성
653,Ívar Malmgrýta,Ívar (EE-var) Ore-Grit,이바르 말름그뤼타,남성
654,Jóhanna Hamarsdóttir,Jóhanna (YOH-han-na) Hammer-Daughter,요한나 하마르스도티르,여성
655,Kjartan Klettabrot,Kjartan (KJAR-tan) Cliff-Break,캬르탄 클레타브로트,남성
656,Lilja Djúpgrunn,Lilja (LIL-ya) Deep-Ground,릴리아 디우프그룬,여성
657,Máni Bergverja,Máni (MAH-ni) Mountain-Defender,마니 베르그베랴,남성
658,Nína Járnvarða,Nína (NEE-na) Iron-Warden,니나 야른바르다,여성
659,Óðinn Grjóthelmur,Óðinn (OH-dhinn) Rock-Helm,오딘 그료트헬무르,남성
660,Petra Steinsmíður,Petra (PET-ra) Stone-Smith,페트라 스타인스미뒤르,여성
661,Rúnar Malmgrýta,Rúnar (ROO-nar) Ore-Grit,루나르 말름그뤼타,남성
662,Sif Bergljót,Sif (SIF) Mountain-Light,시프 베르그료트,여성
663,Trausti Djúpholt,Trausti (TRAUS-ti) Deep-Holt,트라우스티 디우프홀트,남성
664,Unnur Hamarsdóttir,Unnur (OON-nur) Hammer-Daughter,운누르 하마르스도티르,여성
665,Valgeir Járnkló,Valgeir (VAL-geir) Iron-Claw,발게이르 야른클로우,남성
666,Yngvildur Malmur,Yngvildur (YNG-vil-dur) Ore-Woman,잉그빌두르 말무르,여성
667,Arnar Bergþór,Arnar (AR-nar) Mountain-Thor,아르나르 베르그토르,남성
668,Bríet Grjótvarða,Bríet (BREE-et) Rock-Warden,브리에트 그료트바르다,여성
669,Daníel Klettabúi,Daníel (DAN-ee-el) Cliff-Dweller,다니엘 클레타부이,남성
670,Elísa Steinröð,Elísa (E-lee-sa) Stone-Row,엘리사 스타인뢰드,여성
671,Friðrik Malmbúi,Friðrik (FRI-dh-rik) Ore-Dweller,프리드리크 말름부이,남성
672,Guðrún Djúphjarta,Guðrún (GOO-dh-roon) Deep-Heart,구드룬 디우프히에르타,여성
673,Hafþór Járnkló,Hafþór (HAF-thor) Iron-Claw,하프토르 야른클로우,남성
674,Íris Bergheim,Íris (EE-ris) Mountain-Home,이리스 베르그하임,여성
675,Jónas Hamarsmiður,Jónas (YOH-nas) Hammer-Smith,요나스 하마르스미뒤르,남성
676,Kolbrún Urðardóttir,Kolbrún (KOL-broon) Cairn-Daughter,콜브룬 우르다르도티르,여성
677,Leifur Steinvörður,Leifur (LAY-vur) Stone-Guard,레이푸르 스타인뵈르뒤르,남성
678,Margrét Djúpdal,Margrét (MAR-greet) Deep-Valley,마르그레트 디우프달,여성
679,Nökkvi Malmstein,Nökkvi (NUKK-vi) Ore-Stone,뇌크비 말름스타인,남성
680,Ósk Járnvarða,Ósk (OHSK) Iron-Warden,오스크 야른바르다,여성
681,Páll Grjóthelmur,Páll (PAUL) Rock-Helm,파울 그료트헬무르,남성
682,Rakel Steinsmíður,Rakel (RAH-kel) Stone-Smith,라켈 스타인스미뒤르,여성
683,Snæbjörn Malmur,Snæbjörn (SNY-byurn) Ore-Man,스나이비외른 말무르,남성
684,Sóley Djúpauga,Sóley (SOH-lay) Deep-Eye,소울레이 디우파우가,여성
685,Tómas Bergfótur,Tómas (TOH-mas) Mountain-Foot,토마스 베르그포투르,남성
686,Valgerður Hamarsdóttir,Valgerður (VAL-ger-dhur) Hammer-Daughter,발게르뒤르 하마르스도티르,여성
687,Þorsteinn Járnhönd,Þorsteinn (THOR-stain) Iron-Hand,토르스타인 야른회든,남성
688,Aldís Urðardóttir,Aldís (AL-dees) Cairn-Daughter,알디스 우르다르도티르,여성
689,Ari Berghjarta,Ari (AH-ri) Mountain-Heart,아리 베르그히에르타,남성
690,Birna Malmkenna,Birna (BIR-na) Ore-Kin,비르나 말름켄나,여성
691,Davíð Grjótvarði,Davíð (DAH-veeth) Rock-Warden,다비트 그료트바르디,남성
692,Elín Djúpgrunn,Elín (E-lin) Deep-Ground,엘린 디우프그룬,여성
693,Fannar Járnskjöldur,Fannar (FAN-nar) Iron-Shield,판나르 야른스죌두르,남성
694,Guðjón Bergþing,Guðjón (GOO-dh-yohn) Mountain-Assembly,구드욘 베르그팅,남성
695,Hrafnhildur Hamarsdóttir,Hrafnhildur (HRAFN-hil-dur) Hammer-Daughter,흐라프닐두르 하마르스도티르,여성
696,Ingólfur Myrkasteinn,Ingólfur (ING-gohl-fur) Dark-Stone,잉골푸르 뮈르카스타인,남성
697,Jórunn Djúpstígur,Jórunn (YOH-roon) Deep-Path,요룬 디우프스티구르,여성
698,Kormákur Malmgrýta,Kormákur (KOR-mow-kur) Ore-Grit,코르마우쿠르 말름그뤼타,남성
699,Lára Steinsmíður,Lára (LAU-ra) Stone-Smith,라우라 스타인스미뒤르,여성
700,Pétur Bergverja,Pétur (PYEH-tur) Mountain-Defender,페투르 베르그베랴,남성
701,Rán Járnvarða,Rán (RAUN) Iron-Warden,라운 야른바르다,여성
702,Snorri Grjóthelmur,Snorri (SNOR-ri) Rock-Helm,스노리 그료트헬무르,남성
703,Solveig Urðardóttir,Solveig (SOL-vayg) Cairn-Daughter,솔베이그 우르다르도티르,여성
704,Teitur Malmur,Teitur (TAY-tur) Ore-Man,테이투르 말무르,남성
705,Vigdís Bergfótur,Vigdís (VIG-dees) Mountain-Foot,비그디스 베르그포투르,여성
706,Þorlákur Hamarsmiður,Þorlákur (THOR-lau-kur) Hammer-Smith,토르라우쿠르 하마르스미뒤르,남성
707,Ágústa Djúpauga,Ágústa (OW-goos-ta) Deep-Eye,아우구스타 디우파우가,여성
708,Brynjar Malmþing,Brynjar (BRYN-yar) Ore-Assembly,브륀야르 말름팅,남성
709,Dagrún Steinfljót,Dagrún (DAH-groon) Stone-River,다그룬 스타인플료트,여성
710,Eiríkur Klettabrot,Eiríkur (AY-ree-kur) Cliff-Break,에이리쿠르 클레타브로트,남성
711,Fanney Djúphjarta,Fanney (FAN-nay) Deep-Heart,판네이 디우프히에르타,여성
712,Gísli Járnskjöldur,Gísli (GEES-li) Iron-Shield,기슬리 야른스죌두르,남성
713,Hulda Bergheim,Hulda (HOOL-da) Mountain-Home,훌다 베르그하임,여성
714,Ívar Malmbúi,Ívar (EE-var) Ore-Dweller,이바르 말름부이,남성
715,Júlía Hamarsdóttir,Júlía (YOO-lee-a) Hammer-Daughter,율리아 하마르스도티르,여성
716,Kristján Grjóthelmur,Kristján (KRIS-tyan) Rock-Helm,크리스티안 그료트헬무르,남성
717,Laufey Steinvörður,Laufey (LAU-fay) Stone-Guard,라우페이 스타인뵈르뒤르,여성
718,Arvid Stenbäck,Arvid (AR-vid) Stone-Creek,아르비드 스텐벡,남성
719,Ingrid Malmåder,Ingrid (ING-grid) Ore-Vein,잉그리드 말름오데르,여성
720,Björn Järnskägg,Björn (BYURN) Iron-Beard,비외른 예르은셰그,남성
721,Astrid Bergfält,Astrid (AH-strid) Mountain-Field,아스트리드 베리예펠트,여성
722,Gunnar Djupskog,Gunnar (GOON-nar) Deep-Forest,군나르 유프스코그,남성
723,Freja Hällristare,Freja (FREY-ah) Rock-Carver,프레야 헬리스타레,여성
724,Håkan Gråhammar,Håkan (HO-kahn) Gray-Hammer,호칸 그로함마르,남성
725,Linnea Guldflod,Linnea (lin-NAY-a) Gold-River,린네아 굴드플로드,여성
726,Marius Klipfot,Marius (MAH-ri-us) Cliff-Foot,마리우스 클립포트,남성
727,Nora Svartfjäll,Nora (NOH-ra) Black-Mountain,노라 스바르트피엘,여성
728,Olof Bergsten,Olof (OH-lof) Mountain-Stone,올로프 베리예스텐,남성
729,Solveig Tungfot,Solveig (SOL-vayg) Heavy-Foot,솔베이그 퉁포트,여성
730,Torsten Stålklang,Torsten (TOR-sten) Steel-Sound,토르스텐 스톨클랑,남성
731,Ursa Malmgröt,Ursa (UR-sa) Ore-Grubber,우르사 말름그뢰트,여성
732,Valter Grubbgrav,Valter (VAL-ter) Mine-Grave,발테르 그루브그라브,남성
733,Wilma Järnhjärta,Wilma (VIL-ma) Ironheart,빌마 예르은히에르타,여성
734,Anders Bergväktare,Anders (AHN-ders) Mountain-Guardian,안데르스 베리예뱁타레,남성
735,Birgitta Stenbunden,Birgitta (bir-YIT-ta) Stone-Bound,비르기타 스텐분덴,여성
736,Dagfinn Malmsmed,Dagfinn (DAHG-fin) Ore-Smith,다그핀 말름스메드,남성
737,Elin Djuphåla,Elin (EH-lin) Deep-Hole,엘린 유프홀라,여성
738,Folke Järnfäste,Folke (FOL-keh) Iron-Hold,폴케 예르은페스테,남성
739,Gunilla Hammarslag,Gunilla (goo-NIL-la) Hammer-Strike,구닐라 함마르슬라그,여성
740,Gustav Stenmurare,Gustav (GOOS-tav) Stone-Mason,구스타브 스텐무라레,남성
741,Hedvig Gråberg,Hedvig (HED-vig) Gray-Mountain,헤드비그 그로베리,여성
742,Ivar Svartskägg,Ivar (EE-var) Black-Beard,이바르 스바르트셰그,남성
743,Karin Guldgruva,Karin (KAH-rin) Gold-Mine,카린 굴드그루바,여성
744,Lars Bergrot,Lars (LARSH) Mountain-Root,라르스 베리예로트,남성
745,Märta Malmskatt,Märta (MEHR-ta) Ore-Treasure,메르타 말름스카트,여성
746,Nils Järnbrott,Nils (NILS) Iron-Break,닐스 예르은브로트,남성
747,Olga Stenfot,Olga (OL-ga) Stone-Foot,올가 스텐포트,여성
748,Per Djuphjerta,Per (PEHR) Deepheart,페르 유프히에르타,남성
749,Rut Malmstam,Rut (ROOT) Ore-Stem,루트 말름스탐,여성
750,Sixten Bergklang,Sixten (SIK-sten) Mountain-Sound,식스텐 베리예클랑,남성
751,Signe Järnkvinna,Signe (SING-ne) Iron-Woman,시그네 예르은크빈나,여성
752,Tage Stenbrygga,Tage (TAH-ge) Stone-Bridge,타게 스텐브뤼가,남성
753,Ulla Guldhand,Ulla (UL-la) Gold-Hand,울라 굴드한드,여성
754,Viktor Svartöga,Viktor (VIK-tor) Black-Eye,빅토르 스바르트외가,남성
755,Ylva Klippklang,Ylva (YOOL-va) Cliff-Sound,윌바 클리프클랑,여성
756,Axel Djuphäll,Axel (AK-sel) Deep-Rock,악셀 유프헬,남성
757,Britta Stenmur,Britta (BRIT-ta) Stone-Wall,브리타 스텐무르,여성
758,Carl Järnrygg,Carl (KARL) Iron-Back,칼 예르은뤼그,남성
759,Doris Bergdal,Doris (DOH-ris) Mountain-Valley,도리스 베리예달,여성
760,Erik Malmhjärta,Erik (EH-rik) Ore-Heart,에리크 말름히에르타,남성
761,Frida Stenbrott,Frida (FREE-da) Stone-Quarry,프리다 스텐브로트,여성
762,Gunnar Hammerhand,Gunnar (GOON-nar) Hammer-Hand,군나르 함마르한드,남성
763,Helena Djuptunnel,Helena (HEH-le-na) Deep-Tunnel,헬레나 유프툰넬,여성
764,Isak Järnarm,Isak (EE-sak) Iron-Arm,이사크 예르은아름,남성
765,Jenny Bergsdotter,Jenny (YEN-ni) Mountain-Daughter,예니 베리예스도테르,여성
766,Kjell Malmström,Kjell (SHELL) Ore-Stream,셸 말름스트룀,남성
767,Linnea Gråsten,Linnea (lin-NAY-a) Graystone,린네아 그로스텐,여성
768,Martin Stenknog,Martin (MAR-tin) Stone-Knuckle,마르틴 스텐크노그,남성
769,Nanna Guldbrunn,Nanna (NAN-na) Gold-Well,난나 굴드브룬,여성
770,Olle Bergklump,Olle (OL-le) Mountain-Lump,올레 베리예클룸프,남성
771,Paula Järnsmed,Paula (PAU-la) Iron-Smith,파울라 예르은스메드,여성
772,Rasmus Stenbrännare,Rasmus (RAS-mus) Stone-Burner,라스무스 스텐브렌나레,남성
773,Sara Malmhals,Sara (SAH-ra) Ore-Neck,사라 말름할스,여성
774,Sven Djupskrälla,Sven (SVEN) Deep-Rumble,스벤 유프스케를라,남성
775,Thora Järnklämma,Thora (TOH-ra) Iron-Clamp,토라 예르은클렘마,여성
776,Urban Bergfot,Urban (UR-ban) Mountain-Foot,우르반 베리예포트,남성
777,Viktoria Stenbrygga,Viktoria (vik-TOH-ria) Stone-Pier,빅토리아 스텐브뤼가,여성
778,Vilgot Malmsmed,Vilgot (VIL-got) Ore-Smith,빌고트 말름스메드,남성
779,Yvonne Guldström,Yvonne (Y-von-ne) Gold-Stream,이본 굴드스트룀,여성
780,Anton Järnskär,Anton (AN-ton) Iron-Shard,안톤 예르은셰르,남성
781,Britta Bergklyft,Britta (BRIT-ta) Mountain-Cleft,브리타 베리예클뤼프트,여성
782,Conny Stenhård,Conny (KON-ni) Stone-Hard,코니 스텐호르드,남성
783,Diana Djuphåla,Diana (dee-AH-na) Deep-Hole,디아나 유프홀라,여성
784,Einar Malmväktare,Einar (AY-nar) Ore-Guardian,에이나르 말름뱁타레,남성
785,Fredrika Järnkrona,Fredrika (fre-DREE-ka) Iron-Crown,프레드리카 예르은크로나,여성
786,Göran Bergskatt,Göran (YUH-ran) Mountain-Treasure,요란 베리예스카트,남성
787,Hilda Stengryt,Hilda (HIL-da) Stone-Grit,힐다 스텐그뤼트,여성
788,Jonas Hammardrag,Jonas (YOH-nas) Hammer-Draw,요나스 함마르드라그,남성
789,Kajsa Djupskärva,Kajsa (KYE-sa) Deep-Crag,카이사 유프셰르바,여성
790,Lennart Järnvilja,Lennart (LEN-nart) Iron-Will,렌나르트 예르은빌야,남성
791,My Berggrotta,My (MY) Mountain-Grotto,뮈 베리예그로타,여성
792,Niklas Stenöga,Niklas (NIK-las) Stone-Eye,니클라스 스텐외가,남성
793,Olivia Guldgång,Olivia (o-LIV-ia) Gold-Passage,올리비아 굴드공,여성
794,Peder Järnsmed,Peder (PEH-der) Iron-Smith,페데르 예르은스메드,남성
795,Ronja Bergsvakt,Ronja (RON-ya) Mountain-Guard,론야 베리예스뱁트,여성
796,Stefan Stenklump,Stefan (STEH-fan) Stone-Lump,스테판 스텐클룸프,남성
797,Tilda Malmgrop,Tilda (TIL-da) Ore-Pit,틸다 말름그롭,여성
798,Ulf Järnhjälm,Ulf (ULF) Iron-Helm,울프 예르은히엘름,남성
799,Vera Bergsklippa,Vera (VEH-ra) Mountain-Cliff,베라 베리예스클리파,여성
800,Walter Stenhuggare,Walter (VAL-ter) Stone-Carver,발테르 스텐후가레,남성
801,Wilma Järnkista,Wilma (VIL-ma) Iron-Chest,빌마 예르은키스타,여성
802,Yngve Malmrök,Yngve (YNG-ve) Ore-Smoke,잉베 말름뢰크,남성
803,Zandra Bergsten,Zandra (SAN-dra) Mountain-Stone,산드라 베리예스텐,여성
804,Arne Djupsmed,Arne (AR-ne) Deep-Smith,아르네 유프스메드,남성
805,Britt-Marie Stensjön,Britt-Marie (BRIT-ma-REE) Stone-Lake,브리트-마리에 스텐셰왼,여성
806,Björn Bergsten,Björn (BYURN) Mountain-Stone,비외른 베리예스텐,남성
807,Astrid Järnhjärta,Astrid (AH-strid) Ironheart,아스트리드 예르은히에르타,여성
808,Gunnar Malmfors,Gunnar (GOON-nar) Ore-Waterfall,군나르 말름포르스,남성
809,Freja Fjellrot,Freja (FREY-ah) Mountain-Root,프레야 피엘로트,여성
810,Håkan Gråberg,Håkan (HO-kahn) Gray-Mountain,호칸 그로베리,남성
811,Ingrid Stenhammar,Ingrid (ING-grid) Stonehammer,잉그리드 스텐함마르,여성
812,Kalle Smideskäft,Kalle (KAL-leh) Forge-Jaw,칼레 스미데스셰프트,남성
813,Linnea Djupskog,Linnea (lin-NAY-a) Deep-Forest,린네아 유프스코그,여성
814,Marius Hällristare,Marius (MAH-ri-us) Rock-Carver,마리우스 헬리스타레,남성
815,Nora Guldåder,Nora (NOH-ra) Gold-Vein,노라 굴드오데르,여성
816,Olof Svartmalm,Olof (OH-lof) Black-Ore,올로프 스바르트말름,남성
817,Solveig Tungsten,Solveig (SOL-vayg) Tungsten,솔베이그 퉁스텐,여성
818,Torsten Stålfot,Torsten (TOR-sten) Steel-Foot,토르스텐 스톨포트,남성
819,Ursa Gråsten,Ursa (UR-sa) Graystone,우르사 그로스텐,여성
820,Valter Jordbunden,Valter (VAL-ter) Earth-Bound,발테르 요르분덴,남성
821,Wilma Klipprygg,Wilma (VIL-ma) Cliff-Back,빌마 클리프뤼그,여성
822,Anders Grubbar,Anders (AHN-ders) Grumbler,안데르스 그루바르,남성
823,Birgitta Malmkrona,Birgitta (bir-YIT-ta) Ore-Crown,비르기타 말름크로나,여성
824,Dagfinn Järnkäke,Dagfinn (DAHG-fin) Iron-Jaw,다그핀 예르은셰케,남성
825,Elin Djuphjerta,Elin (EH-lin) Deepheart,엘린 유프히에르타,여성
826,Folke Bergväktare,Folke (FOL-keh) Mountain-Guardian,폴케 베리예뱁테레,남성
827,Gunilla Malmgrund,Gunilla (goo-NIL-la) Ore-Ground,구닐라 말름그룬드,여성
828,Gustav Stenmurare,Gustav (GOOS-tav) Stone-Mason,구스타브 스텐무라레,남성
829,Hedvig Grådal,Hedvig (HED-vig) Gray-Valley,헤드비그 그로달,여성
830,Ivar Svartskägg,Ivar (EE-var) Black-Beard,이바르 스바르트셰그,남성
831,Karin Järnbrytare,Karin (KAH-rin) Iron-Breaker,카린 예르은브뤼타레,여성
832,Lars Hammarslag,Lars (LARSH) Hammer-Strike,라르스 함마르슬라그,남성
833,Märta Djupsinnig,Märta (MEHR-ta) Deep-Minded,메르타 유프시니그,여성
834,Nils Bergbjörn,Nils (NILS) Mountain-Bear,닐스 베리예비외른,남성
835,Olga Malmrot,Olga (OL-ga) Ore-Root,올가 말름로트,여성
836,Per Stenbro,Per (PEHR) Stone-Bridge,페르 스텐브로,남성
837,Rut Gråfjäll,Rut (ROOT) Gray-Mountain,루트 그로피엘,여성
838,Sixten Järnfäste,Sixten (SIK-sten) Iron-Hold,식스텐 예르은페스테,남성
839,Signe Klipprot,Signe (SING-ne) Cliff-Root,시그네 클리프로트,여성
840,Tage Stenblock,Tage (TAH-ge) Stone-Block,타게 스텐블로크,남성
841,Ulla Guldåder,Ulla (UL-la) Gold-Vein,울라 굴드오데르,여성
842,Viktor Berggrot,Viktor (VIK-tor) Mountain-Grotto,빅토르 베리예그로트,남성
843,Ylva Malmgång,Ylva (YOOL-va) Ore-Passage,윌바 말름공,여성
844,Axel Djuphäll,Axel (AK-sel) Deep-Rock,악셀 유프헬,남성
845,Britta Stenhög,Britta (BRIT-ta) Stone-Pile,브리타 스텐회그,여성
846,Carl Järnstark,Carl (KARL) Iron-Strong,칼 예르은스타르크,남성
847,Doris Bergfäst,Doris (DOH-ris) Mountain-Fast,도리스 베리예페스트,여성
848,Erik Svartklump,Erik (EH-rik) Black-Lump,에리크 스바르트클룸프,남성
849,Frida Malmskiva,Frida (FREE-da) Ore-Slice,프리다 말름스키바,여성
850,Gunnar Hammersmed,Gunnar (GOON-nar) Hammer-Smith,군나르 함마르스메드,남성
851,Helena Djupskog,Helena (HEH-le-na) Deep-Forest,헬레나 유프스코그,여성
852,Isak Stenbrott,Isak (EE-sak) Stone-Quarry,이사크 스텐브로트,남성
853,Jenny Järnaxel,Jenny (YEN-ni) Iron-Axe,예니 예르은악셀,여성
854,Kjell Berggrund,Kjell (SHELL) Mountain-Ground,셸 베리예그룬드,남성
855,Linnea Gråklippa,Linnea (lin-NAY-a) Gray-Cliff,린네아 그로클리파,여성
856,Martin Malmgång,Martin (MAR-tin) Ore-Passage,마르틴 말름공,남성
857,Nanna Stenbäck,Nanna (NAN-na) Stone-Creek,난나 스텐벡,여성
858,Olle Djuphjerta,Olle (OL-le) Deepheart,올레 유프히에르타,남성
859,Paula Järnrot,Paula (PAU-la) Iron-Root,파울라 예르은로트,여성
860,Rasmus Bergfot,Rasmus (RAS-mus) Mountain-Foot,라스무스 베리예포트,남성
861,Sara Malmtjuv,Sara (SAH-ra) Ore-Thief,사라 말름유브,여성
862,Sven Stenhuggar,Sven (SVEN) Stone-Carver,스벤 스텐후가르,남성
863,Thora Gråsten,Thora (TOH-ra) Graystone,토라 그로스텐,여성
864,Urban Djuphäll,Urban (UR-ban) Deep-Rock,우르반 유프헬,남성
865,Viktoria Järnhand,Viktoria (vik-TOH-ria) Iron-Hand,빅토리아 예르은한드,여성
866,Vilgot Bergklang,Vilgot (VIL-got) Mountain-Sound,빌고트 베리예클랑,남성
867,Yvonne Malmström,Yvonne (Y-von-ne) Ore-Stream,이본 말름스트룀,여성
868,Anton Stenrötter,Anton (AN-ton) Stone-Rooter,안톤 스텐뢰테르,남성
869,Britta Djuphål,Britta (BRIT-ta) Deep-Hole,브리타 유프홀,여성
870,Conny Järnben,Conny (KON-ni) Iron-Leg,코니 예르은벤,남성
871,Diana Bergrum,Diana (dee-AH-na) Mountain-Room,디아나 베리예룸,여성
872,Einar Gråskägg,Einar (AY-nar) Gray-Beard,에이나르 그로셰그,남성
873,Fredrika Malmsten,Fredrika (fre-DREE-ka) Ore-Stone,프레드리카 말름스텐,여성
874,Göran Hammarbult,Göran (YUH-ran) Hammer-Bolt,요란 함마르불트,남성
875,Hilda Djupskärva,Hilda (HIL-da) Deep-Crag,힐다 유프셰르바,여성
876,Jonas Stenbrygga,Jonas (YOH-nas) Stone-Pier,요나스 스텐브뤼가,남성
877,Kajsa Järnkött,Kajsa (KYE-sa) Iron-Flesh,카이사 예르은셰트,여성
878,Lennart Bergvaktare,Lennart (LEN-nart) Mountain-Guard,렌나르트 베리예뱁타레,남성
879,My Malmgrotta,My (MY) Ore-Grotto,뮈 말름그로타,여성
880,Niklas Stenöga,Niklas (NIK-las) Stone-Eye,니클라스 스텐외가,남성
881,Olivia Djuphjerta,Olivia (o-LIV-ia) Deepheart,올리비아 유프히에르타,여성
882,Peder Järnsmältare,Peder (PEH-der) Iron-Smelter,페데르 예르은스멜타레,남성
883,Ronja Bergsdotter,Ronja (RON-ya) Mountain-Daughter,론야 베리예스도테르,여성
884,Stefan Stenkloss,Stefan (STEH-fan) Stone-Clump,스테판 스텐클로스,남성
885,Tilda Malmskatt,Tilda (TIL-da) Ore-Treasure,틸다 말름스카트,여성
886,Ulf Järnvilja,Ulf (ULF) Iron-Will,울프 예르은빌야,남성
887,Vera Bergskatt,Vera (VEH-ra) Mountain-Treasure,베라 베리예스카트,여성
888,Walter Stenblock,Walter (VAL-ter) Stone-Block,발테르 스텐블로크,남성
889,Wilma Järnfäste,Wilma (VIL-ma) Iron-Hold,빌마 예르은페스테,여성
890,Yngve Malmväktare,Yngve (YNG-ve) Ore-Guardian,잉베 말름뱁타레,남성
891,Zandra Bergsten,Zandra (SAN-dra) Mountain-Stone,산드라 베리예스텐,여성
892,Einar Grunnfjell,Einar (AY-nar) Ground-Mountain,에이나르 그룬피엘,남성
893,Astrid Stenholt,Astrid (AH-strid) Stone-Hold,아스트리드 스텐홀트,여성
894,Bjørn Hardstein,Bjørn (BYURN) Hardstone,비외른 하르드스타인,남성
895,Dagny Malmås,Dagny (DAHG-ni) Ore-Ridge,다그니 말름오스,여성
896,Frode Dypbrønn,Frode (FRO-de) Deep-Well,프로데 뒤프브뢴,남성
897,Gerd Tungemål,Gerd (GURD) Heavy-Tongue,게르드 퉁게몰,여성
898,Håkon Smiejern,Håkon (HO-kon) Forge-Iron,호콘 스미예른,남성
899,Ingrid Skjoldbryn,Ingrid (ING-grid) Shield-Brow,잉리드 스욜브륀,여성
900,Jostein Berggrav,Jostein (YOH-stine) Mountain-Grave,요스타인 베르그그라브,남성
901,Kari Fjellbjørg,Kari (KAH-ri) Mountain-Shelter,카리 피엘비외르그,여성
902,Leif Steinhammer,Leif (LAYF) Stonehammer,레이프 스타인해머,남성
903,Maja Gruvehjerte,Maja (MAH-ya) Mine-Heart,마야 그루베히에르테,여성
904,Olav Stålhånd,Olav (OH-lav) Steel-Hand,올라브 스톨호른,남성
905,Randi Jernrygg,Randi (RAN-di) Iron-Back,란디 예른뤼그,여성
906,Sigurd Dypdal,Sigurd (SEE-gurd) Deep-Valley,시구르드 뒤프달,남성
907,Torhild Malmstrøm,Torhild (TOR-hild) Ore-Stream,토르힐드 말름스트룀,여성
908,Ulrik Klippefot,Ulrik (OOL-rik) Cliff-Foot,울리크 클리페포트,남성
909,Valborg Hammerdatter,Valborg (VAL-borg) Hammer-Daughter,발보르그 해머다테르,여성
910,Vidar Steinøks,Vidar (VEE-dar) Stone-Axe,비다르 스타인외크스,남성
911,Ylva Bergfot,Ylva (YOOL-va) Mountain-Foot,윌바 베르그포트,여성
912,Arild Grubbestad,Arild (AH-rild) Mine-Place,아릴드 그루베스타드,남성
913,Bodil Malmskudd,Bodil (BOH-dil) Ore-Shot,보딜 말름스쿠드,여성
914,Christian Steinmur,Christian (KRIS-tyan) Stone-Wall,크리스티안 스타인무르,남성
915,Dagny Bergklang,Dagny (DAHG-ni) Mountain-Sound,다그니 베르그클랑,여성
916,Eirik Jernlås,Eirik (AY-rik) Iron-Lock,에이리크 예른로스,남성
917,Frøya Dypjord,Frøya (FRUH-ya) Deep-Earth,프뢰야 뒤프요르드,여성
918,Gudmund Steinbrot,Gudmund (GOOD-mund) Stone-Break,구드문 스타인브로트,남성
919,Hildegunn Grublemor,Hildegunn (HIL-de-gunn) Grumbler-Mother,힐데군 그루블레모르,여성
920,Ivar Svarthjarta,Ivar (EE-var) Black-Heart,이바르 스바르트히에르타,남성
921,Johanna Malmhånd,Johanna (yoh-HAH-na) Ore-Hand,요한나 말름호른,여성
922,Knut Tungeskjegg,Knut (KNOOT) Heavy-Beard,크누트 퉁게스예그,남성
923,Liv Bergtopp,Liv (LEEV) Mountain-Top,리브 베르그톱,여성
924,Magne Hammerberg,Magne (MAHG-ne) Hammer-Mountain,마그네 해머베르그,남성
925,Solveig Skjeggrune,Solveig (SOL-vayg) Beard-Rune,솔베이그 스예그루네,여성
926,Torbjørn Steinved,Torbjørn (TOR-byurn) Stone-Path,토르비외른 스타인베드,남성
927,Unni Grubbe,Unni (OON-ni) Mine-Pit,운니 그루베,여성
928,Vegard Fjellklo,Vegard (VEH-gard) Mountain-Claw,베가르드 피엘클로,남성
929,Åsa Bergrøtter,Åsa (OH-sa) Mountain-Rooter,오사 베르그뢰테르,여성
930,Alf Stengrep,Alf (ALF) Stone-Grip,알프 스텐그렙,남성
931,Benedikte Jordmor,Benedikte (be-ne-DIK-te) Earth-Mother,베네딕테 요르드모르,여성
932,Christian Gråøks,Christian (KRIS-tyan) Gray-Axe,크리스티안 그로외크스,남성
933,Elida Malmklang,Elida (e-LEE-da) Ore-Sound,엘리다 말름클랑,여성
934,Finn Jernklang,Finn (FINN) Iron-Sound,핀 예른클랑,남성
935,Gunhild Fjellmur,Gunhild (GOON-hild) Mountain-Wall,군힐드 피엘무르,여성
